ID,Case Name,Case Number,Country of Prosecution,Court,Date,Year,Country of Commission,Crimes Charged,Jurisdictional Basis,Jurisdiction Type,Outcome,Outcome Type,Corporate Defendant,Original Language,Specialized Unit,Summary,Key Legal Findings,Decision Link,NGOs,Victims Organizations,Legal Representatives,TRIAL International,UJAR,CFJ Tool,Amnesty,Judicial Decisions Count,Additional Sources
amnesty-fr-halabja-chemicals,Halabja Chemical Weapons (Iraq — French Companies),N/A,France,Paris Judicial Court,2003-01-01,2003,Iraq,Complicity in murder; Complicity in attempted murder; Receiving proceeds of crime,Active personality (art. 113-6 CP — French companies),criminal,Ongoing (investigation),ongoing,Yes,French,,"Victim complaint against French companies Protec SA, De Dietrich, and Carbone Lorraine (now Mersen) for allegedly supplying chemical weapons precursors to Saddam Hussein's Iraq, used in the 1988 Halabja massacre of Kurdish civilians (~5,000 killed). This corporate accountability case links industrial exports to genocide-level atrocities.",Active personality — French companies | Chemical weapons supply chain | Corporate complicity in mass atrocities,,,,,,,,https://competenceuniverselle.amnesty.fr/,0,
amnesty-fr-sinjar-iraq,Massacre de Sinjar (Iraq — Yazidi Genocide),N/A,France,Paris Judicial Court (Pôle crimes contre l'humanité),2020-01-01,2020,Iraq,Genocide; Crimes against humanity; War crimes,Universal jurisdiction (art. 689-11 CPP — Régime 3),criminal,Ongoing (investigation),ongoing,No,French,OCLCH,"French investigation opened by the PNAT concerning the August 2014 ISIS massacre of Yazidi populations in the Sinjar region of Iraq. Covers genocide, crimes against humanity, and war crimes including mass killings, sexual slavery, and forced conversions. Structural investigation opened proprio motu by the prosecution.",Régime 3 — universal jurisdiction for genocide | Yazidi genocide | Structural investigation,,,,,,,,https://competenceuniverselle.amnesty.fr/,0,
amnesty-fr-tikrit-ahmed-ea,Ahmed E. A. — Camp Speicher Massacre (Iraq/ISIS),N/A,France,Paris Judicial Court (Pôle crimes contre l'humanité),2019-01-01,2019,Iraq,War crimes; Terrorism-related killings; Crimes against humanity,Universal jurisdiction (art. 689-11 CPP — Régime 3),criminal,Ongoing,ongoing,No,French,OCLCH,"French prosecution of Ahmed E. A. for participation in the Camp Speicher massacre near Tikrit (June 2014), in which ISIS killed ~1,700 Shia Iraqi Air Force cadets. Charged with war crimes including use of prohibited methods of combat and inhumane treatment, as well as terrorism-related assassination.",Régime 3 — habitual residence | War crimes — prohibited methods | ISIS Camp Speicher massacre,,,,,,,,https://competenceuniverselle.amnesty.fr/,0,
eurojust-de-taha-aj-yazidi,Taha Al-J. (Germany — Yazidi Genocide),5-3 StE 1/20,Germany,Higher Regional Court of Frankfurt am Main,2021-11-30,2021,Syria,Genocide; Crimes against humanity; War crimes; Enslavement; Torture,Universal jurisdiction (Völkerstrafgesetzbuch),criminal,Life imprisonment,conviction,No,German,ZBKV (Central Office for Combating War Crimes),"The defendant, an Iraqi national and head of an IS office, was found guilty of genocide against the Yazidi religious group. He bought a Yazidi woman and her 5-year-old daughter as slaves. He tied the child to a window grille in extreme heat, causing her death by heatstroke. This was the world's first conviction for genocide against the Yazidi people. The judgment established that IS's treatment of Yazidis constituted genocide.",First genocide conviction for Yazidi crimes | Enslavement as crime against humanity | Child victim — death by heatstroke | IS slave trade,https://www.eurojust.europa.eu/sites/default/files/assets/taha-aj-higher-regional-court-of-justice-5-3-ste-120.pdf,ECCHR (https://www.ecchr.eu),,,,,,,1,
eurojust-nl-ethiopia-red-terror,Eshetu Alemu (Netherlands — Ethiopian Red Terror),2200550317v,Netherlands,The Hague Court of Appeal,2022-06-08,2022,Ethiopia,War crimes; Unlawful deprivation of liberty; Cruel and inhuman treatment; Torture; Killing,Universal jurisdiction,criminal,Life imprisonment,conviction,No,Dutch,,"The defendant was found guilty of violating international humanitarian law during Ethiopia's 'Red Terror' period. As a representative of the Derg regime, he committed unlawful deprivation of liberty, cruel and inhuman treatment of hundreds of individuals, and torture and killing of 75 persons during the civil war between the Derg military regime and opposition groups. He was sentenced to life imprisonment.",Ethiopian Red Terror accountability | Derg regime crimes | Life imprisonment for IHL violations | Crimes during civil war,https://www.eurojust.europa.eu/sites/default/files/assets/files/netherlands-case-number-2200550317v.pdf,,,,,,,,1,
eurojust-nl-afghanistan-pul-e-charkhi,Afghan Prison Official (Netherlands — Pul-e-Charkhi),09/748011-12,Netherlands,The Hague District Court,2022-04-14,2022,Afghanistan,War crimes; Cruel and inhumane treatment; Arbitrary detention,Universal jurisdiction,criminal,12 years imprisonment,conviction,No,Dutch,,"The defendant, an Afghan national in charge of a section of the Pul-e-Charkhi prison where political prisoners were held in the 1980s, was living in the Netherlands under a false name. The court found he co-perpetrated humiliating, degrading, cruel and inhumane treatment and arbitrary detention of political prisoners during a non-international armed conflict in Afghanistan.",Afghan political prisoners | False identity discovery | Co-perpetration of war crimes | NIAC in Afghanistan 1980s,https://www.eurojust.europa.eu/sites/default/files/assets/files/netherlands-case-number-09748011-12.pdf,,,,,,,,1,
eurojust-de-yarmouk-syria,Yarmouk Anti-Tank Attack (Germany — Syria),3 StE 7/22-4 (1/22),Germany,Higher Regional Court of Berlin,2023-02-23,2023,Syria,War crimes; Prohibited methods of warfare; Attack against civilian population,Universal jurisdiction (Völkerstrafgesetzbuch),criminal,Life imprisonment,conviction,No,German,ZBKV,"The defendant, a Syrian member of the 'Free Palestine Movement' militia siding with the Assad regime, fired a portable anti-tank weapon into a civilian crowd in the Yarmouk neighbourhood of Damascus. Four persons were killed and two seriously injured. He admitted the act as revenge for his nephew's killing. The court found a clear nexus between the crime and the armed conflict. The Federal Court of Justice upheld the conviction on appeal.",Prohibited methods of warfare | Attack against civilian population | Anti-tank weapon against civilians | NIAC nexus established,https://www.eurojust.europa.eu/sites/default/files/assets/files/de-higher-regional-court-berlin-3-ste-7-22-4-230223.pdf,,,,,,,,3,
eurojust-fi-ukraine-rusich,Yan Petrovsky / Rusich (Finland — Ukraine War Crimes),R 706/2024/11203,Finland,Helsinki District Court,2025-03-14,2025,Ukraine,War crimes; Killing hors de combat soldiers; Mutilation; Outrage upon personal dignity,Universal jurisdiction,criminal,Life imprisonment,conviction,No,Finnish,,"The defendant, a Russian national and deputy commander of the far-right paramilitary group Rusich, led an ambush in September 2014 in the Luhansk region that killed 22 Ukrainian soldiers. He was convicted of killing wounded soldiers placed hors de combat, mutilating bodies, and distributing degrading images on social media. The court established the existence of an international armed conflict in Eastern Ukraine. He was convicted on both direct perpetration and superior responsibility grounds.",International armed conflict in Eastern Ukraine | Superior responsibility | Killing hors de combat soldiers | Social media evidence | First Finnish conviction for Ukraine war crimes,https://www.eurojust.europa.eu/sites/default/files/assets/files/fi-helsinki-district-court-decision-r-706-2024-11203-140325-en.pdf,,,,,,,,1,
eurojust-se-yazidi-genocide,Lina Ishaq (Sweden — Yazidi Genocide),B 3210-23,Sweden,Stockholm District Court,2025-02-11,2025,Syria,Genocide; Crimes against humanity; War crimes; Enslavement; Forcible transfer of children,Universal jurisdiction,criminal,12 years imprisonment,conviction,No,Swedish,,"The Stockholm District Court convicted a 52-year-old Swedish national of genocide, war crimes, and crimes against humanity — the first conviction in Sweden for crimes against humanity. It is also the first judgment worldwide confirming genocide through the underlying act of forcible transfer of children from one group to another. The case concerned the persecution and enslavement of Yazidi women and children by IS.",First Swedish CAH conviction | First genocide conviction via forcible transfer of children | Yazidi genocide | Enslavement | Cultural destruction of a group,https://www.domstol.se/stockholms-tingsratt/nyheter/2025/02/dom-i-mal-om-folkratsbrott-brott-mot-manskligheten-och-folkmord/,,,,,,,,1,
eurojust-nl-syria-killing,Ahmad Al-K. (Netherlands — Syria War Crime Killing),09/748001-18,Netherlands,The Hague District Court,2021-07-16,2021,Syria,War crimes; Killing of a protected person,Universal jurisdiction,criminal,20 years imprisonment,conviction,No,Dutch,,A Syrian national residing in the Netherlands was sentenced to 20 years for the war crime of killing. He participated in the execution of a captured Syrian military officer — a protected person under IHL. YouTube videos showing the execution constituted central evidence. He was acquitted of membership in a terrorist organisation.,War crime of killing — protected person | YouTube video evidence | Execution of captured officer | Acquitted of terrorism charges,https://www.eurojust.europa.eu/sites/default/files/assets/files/netherlands-case-number-09748001-18.pdf,,,,,,,,1,
eurojust-se-syria-ftf-child-soldier,Swedish Mother (Sweden — Child Soldier Recruitment),B 20218-20,Sweden,Stockholm District Court,2022-03-04,2022,Syria,War crimes; Complicity in recruitment of child soldiers,Universal jurisdiction,criminal,6 years imprisonment,conviction,No,Swedish,,A Swedish national who travelled with her children to Syria was convicted of complicity in war crimes for failing to prevent her son (aged 12-15) from being recruited and used as a child soldier by IS. The child died during a mission in August 2013. The court found she was aware of and did not object to her son's recruitment.,Child soldier recruitment | Parental liability as complicity | IS child recruitment | Guardian duty to prevent war crimes,https://www.eurojust.europa.eu/sites/default/files/assets/national-jurisprudence-case-b-20218.20-2022-en.pdf,,,,,,,,1,
eurojust-se-syria-execution-life,Syrian Asylum Seeker (Sweden — Execution of Soldiers),B3787-16,Sweden,Svea Court of Appeal / Stockholm District Court,2017-02-16,2017,Syria,War crimes; Extrajudicial killing of hors de combat soldiers,Universal jurisdiction,criminal,Life imprisonment,conviction,No,Swedish,,A Syrian asylum seeker was sentenced to life imprisonment for actively participating in the deliberate extrajudicial killings of seven captured Syrian soldiers (hors de combat) during the Syrian conflict. A YouTube video on which the defendant appeared constituted the central evidence.,Execution of hors de combat soldiers | Life sentence | YouTube evidence | Asylum seeker prosecution,https://www.eurojust.europa.eu/sites/default/files/Partners/Genocide/2017-02-SE-Stockholm-City-Court_EN.pdf,,,,,,,,1,
eurojust-be-rwanda-garage-2024,Kigali Garage Case (Belgium — Rwanda Genocide),FD.30.98.000101/2002,Belgium,Brussels Assizes Court,2024-06-10,2024,Rwanda,Genocide; War crimes; Murder; Attempted murder; Rape,Universal jurisdiction,criminal,25 years imprisonment,conviction,No,French,,"The defendant ran a garage in Kigali that became a headquarters for the Interahamwe during the 1994 genocide. Tutsis were massacred in and around the garage complex. He was found guilty of genocide and war crimes including wilful killing, attempted murder and rape. The conviction became final after the Court of cassation rejected his appeal on 18 December 2024.",Interahamwe headquarters | Direct perpetration and facilitation | Genocide conviction | Cassation appeal rejected — final,https://www.eurojust.europa.eu/sites/default/files/assets/files/be-assizes-brussels-fd.30.98.000101-2002-100624.pdf,,,,,,,,1,
eurojust-fr-syria-bashar-assad-immunity,Bashar al-Assad Immunity Ruling (France),24-84.393,France,Court of Cassation (Plenary Assembly),2025-07-25,2025,Syria,Complicity in crimes against humanity; War crimes,Universal jurisdiction,criminal,Arrest warrant annulled (personal immunity of sitting head of state),other,No,French,,"The French Court of Cassation ruled on the legality of an arrest warrant issued against Bashar al-Assad in 2023 for complicity in crimes against humanity and war crimes. The Court held that personal immunity of sitting heads of state is a rule of customary international law, and that war crimes and crimes against humanity do NOT constitute exceptions to personal immunity for heads of state in-office. However, the Court emphasized that personal immunity is temporary and ceases once the head of state leaves office, and that functional immunity cannot be invoked for genocide, CAH, and war crimes.",Personal immunity — no exception for sitting heads of state | Functional immunity — does not apply to international crimes | Temporary nature of personal immunity | Arrest warrant annulled,https://www.eurojust.europa.eu/sites/default/files/assets/files/fr-cassation-plenary-assembly-24-84.393-250725-eng.pdf,,,,,,,,1,
eurojust-fr-syria-functional-immunity,Syrian Central Bank Governor — Functional Immunity Ruling (France),24-84.071,France,Court of Cassation (Plenary Assembly),2025-07-25,2025,Syria,Complicity in crimes against humanity; Complicity in war crimes; Money laundering,Active personality (French nationality),criminal,Indictment upheld — functional immunity rejected,ongoing,No,French,,"A dual French-Syrian national, former Governor of the Central Bank of Syria, was indicted for complicity in crimes against humanity and war crimes. The Court of Cassation ruled that functional immunity cannot be invoked for genocide, crimes against humanity, and war crimes — a landmark ruling reinforcing the exception to immunity for the most serious international crimes.",Functional immunity — no bar for international crimes | Complicity via financial role | French-Syrian dual national | Central bank governor accountability,https://www.eurojust.europa.eu/sites/default/files/assets/files/fr-cassation-plenary-assembly-24-84.071-250725-eng.pdf,,,,,,,,1,
eurojust-de-germany-immunity-2024,Syrian Official — Functional Immunity Ruling (Germany),AK 4/24,Germany,Federal Court of Justice,2024-02-21,2024,Syria,Crimes against humanity; War crimes; Torture; Enslavement,Universal jurisdiction (Völkerstrafgesetzbuch),criminal,Detention upheld — functional immunity rejected,ongoing,No,German,ZBKV,"The Federal Court of Justice affirmed that functional immunity does not protect foreign public officials from prosecution for core international crimes, regardless of rank or status. The Court also addressed enslavement, ruling that it does not need to last for an indeterminate or prolonged period — duration is merely one factor in the overall assessment.",Functional immunity — no bar regardless of rank | Enslavement — no minimum duration required | Detention upheld for gravity of charges,https://www.eurojust.europa.eu/sites/default/files/assets/files/49.-germany-translation-of-the-order-of-the-federal-court-of-justice-of-21-february-2024-ref.-ak-4-24.pdf,,,,,,,,2,
sweden-lina-ishaq-yazidi,Lina Ishaq (Sweden — Yazidi Genocide),N/A,Sweden,Stockholm District Court,2025-02-11,2025,Syria / Iraq,Genocide; Crimes against humanity; War crimes; Enslavement,Universal jurisdiction,criminal,12 years imprisonment,conviction,No,Swedish,,"Swedish woman Lina Ishaq was convicted of genocide, crimes against humanity, and gross war crimes for keeping Yazidi slaves while living with ISIS in Syria in 2015. She enslaved Yazidi women and girls, subjecting them to forced labour and degrading treatment. First Swedish conviction for genocide. The case demonstrates that universal jurisdiction can reach not only military commanders but also civilian participants in genocidal campaigns.",First Swedish genocide conviction | Yazidi genocide — civilian participant liability | Enslavement as crime against humanity | IS-related UJ prosecution,https://www.domstol.se/stockholms-tingsratt/nyheter/2025/02/dom-i-mal-om-folkratsbrott-brott-mot-manskligheten-och-folkmord/,,,,,,,,1,Reuters — Sweden sentences woman for genocide: https://www.reuters.com/world/europe/sweden-sentences-woman-12-years-prison-genocide-war-crimes-syria-2025-02-11/ | BBC — Swedish woman convicted of genocide: https://www.bbc.com/news/articles/ce3lq39zpp0o
germany-stuttgart-hezbollah-syria,Syrian Hezbollah Militia Member (Stuttgart),N/A,Germany,Higher Regional Court of Stuttgart,2025-06-03,2025,Syria,Crimes against humanity; War crimes; Murder,Universal jurisdiction,criminal,Life imprisonment,conviction,No,German,ZBKV,"The Higher Regional Court of Stuttgart sentenced a 33-year-old Syrian man to life in prison for crimes against humanity and war crimes committed as a leading member of a Hezbollah-backed militia during Syria's civil war. The militia carried out brutal attacks on Sunni Muslim civilians. The case demonstrates Germany's continued leading role in prosecuting Syrian conflict crimes under universal jurisdiction, extending beyond the Assad regime to Iran/Hezbollah-linked actors.",Hezbollah-backed militia crimes | Non-state armed group liability | Attacks on Sunni civilians | Germany structural investigations,,,,,,,,,1,Reuters — Syrian man life sentence Germany: https://www.reuters.com/world/middle-east/syrian-man-handed-life-sentence-germany-war-crimes-2025-06-03/ | DW — Germany jails Syrian pro-Assad fighter: https://www.dw.com/en/germany-jails-syrian-pro-assad-fighter-over-war-crimes/a-72776468
france-assad-arrest-warrant,Bashar al-Assad — Arrest Warrant (Chemical Weapons),N/A,France,Paris Court of Appeal,2024-06-26,2024,Syria,Complicity in crimes against humanity; Complicity in war crimes; Use of chemical weapons,Universal jurisdiction,criminal,Arrest warrant confirmed on appeal,ongoing,No,French,OCLCH,"The Paris Court of Appeal confirmed the validity of the international arrest warrant issued against former Syrian President Bashar al-Assad for alleged complicity in crimes against humanity and war crimes related to the August 2013 Ghouta chemical weapons attack that killed over 1,000 civilians. Warrants were also upheld for his brother Maher al-Assad and two senior military officials. The ruling was a landmark on head-of-state immunity: the court held that functional immunity does not apply to international crimes. After Assad's fall in December 2024, French prosecutors may seek his arrest.",Head-of-state immunity rejected for international crimes | Chemical weapons as war crime | Arrest warrant upheld on appeal | Functional immunity inapplicable,,Open Society Justice Initiative (https://www.justiceinitiative.org); ECCHR (https://www.ecchr.eu); Syrian Archive (https://syrianarchive.org),Syrian Center for Media and Freedom of Expression,,,,,,2,BBC — French court confirms Assad arrest warrant: https://www.bbc.com/news/articles/cn0090vrxgwo | Le Monde — Paris court upholds Assad warrant: https://www.lemonde.fr/en/international/article/2024/06/26/paris-court-upholds-validity-of-arrest-warrant-for-syrian-president-bashar-al-assad_6675825_4.html | Open Society — Court validates historic arrest warrant: https://www.justiceinitiative.org/newsroom/french-court-of-appeal-validates-historic-arrest-warrant-for-syrian-president-bashar-al-assad-a-legal-milestone-and-important-victory-for-survivors
switzerland-nezzar-algeria,Khaled Nezzar (Algeria — Dirty War),N/A,Switzerland,Swiss Federal Criminal Court,2024-01-01,2024,Algeria,War crimes; Crimes against humanity; Torture,Universal jurisdiction,criminal,Indicted — proceedings stalled (immunity rejected),ongoing,No,French,,"Former Algerian Defence Minister Khaled Nezzar was indicted in August 2023 for war crimes and crimes against humanity committed during Algeria's 'Dirty War' of the 1990s. The case, initiated by TRIAL International in 2011, produced a landmark 2012 Federal Criminal Court ruling rejecting functional immunity for former heads of state and senior officials for international crimes. Despite the indictment, plaintiffs filed complaints in 2025 alleging denial of justice due to extreme delays. In December 2025, TRIAL International reported that victims may never see justice in the case.",Functional immunity rejected (landmark 2012 ruling) | Algeria Dirty War accountability | Former Defence Minister prosecution | Delay as denial of justice,,TRIAL International (https://trialinternational.org),,,,,,,2,TRIAL International — Nezzar case: no hope for victims: https://trialinternational.org/latest-post/khaled-nezzar-case-no-more-hope-for-victims-to-obtain-justice/ | TRIAL International — Model decision on immunity: https://trialinternational.org/latest-post/swiss-federal-criminal-court-judgement-in-the-nezzar-case-a-model-decision | ICRC Casebook — Immunity of General Nezzar: https://casebook.icrc.org/case-study/switzerland-immunity-general-nezzar
uk-pinochet,"R v Bartle, ex parte Pinochet (No. 3)",[1999] UKHL 17,United Kingdom,House of Lords,1999-03-24,1999,Chile,Torture; Conspiracy to commit torture; Hostage taking,Universal jurisdiction,criminal,Immunity rejected for torture post-1988 (extradition proceedings),other,No,English,,"The foundational common law universal jurisdiction and immunity decision. The House of Lords ruled that former Chilean dictator Augusto Pinochet could not claim sovereign immunity for acts of torture committed after the UK ratified the Convention Against Torture in 1988. While Pinochet was ultimately released on medical grounds and returned to Chile, the decision transformed international criminal law by establishing that former heads of state cannot invoke immunity for torture. The case was initiated by a Spanish arrest warrant issued by Judge Baltasar Garzón.",Head-of-state immunity — no bar for torture post-CAT ratification | Foundational UJ/immunity decision | Spanish arrest warrant — cross-border cooperation | Torture as jus cogens — overrides immunity,https://www.bailii.org/uk/cases/UKHL/1999/17.html,Amnesty International (https://www.amnesty.org); Human Rights Watch (https://www.hrw.org),,,,,,,2,BAILII — Pinochet No. 1 [1998] UKHL 41: https://www.bailii.org/uk/cases/UKHL/1998/41.html | BAILII — Pinochet No. 2 [1999] UKHL 1: https://www.bailii.org/uk/cases/UKHL/1999/1.html | ICD — International Crimes Database: https://www.internationalcrimesdatabase.org
israel-eichmann,Israel v. Adolf Eichmann,Criminal Case 40/61,Israel,District Court of Jerusalem / Supreme Court of Israel,1961-12-11,1961,Germany,Crimes against humanity; War crimes; Crimes against the Jewish people; Membership in hostile organizations,Universal jurisdiction,criminal,Death sentence (executed 1962),conviction,No,Hebrew (English translation available),,"The foundational universal jurisdiction case. Adolf Eichmann, a senior Nazi official responsible for organizing the logistics of the Holocaust, was captured by Mossad agents in Argentina in 1960 and tried in Jerusalem. The District Court convicted him of crimes against humanity, war crimes, and crimes against the Jewish people. The Supreme Court upheld the conviction and death sentence. Eichmann was executed on 1 June 1962. The trial established key precedents on universal jurisdiction, the irrelevance of superior orders, and the nature of crimes against humanity.",Foundational universal jurisdiction case | Superior orders — no defence | Crimes against humanity — systematic extermination | Retroactive application of criminal law justified,https://www.legal-tools.org/doc/04a016/,,,,,,,,2,ICC Legal Tools — District Court judgment: https://www.legal-tools.org/doc/04a016/ | ICC Legal Tools — Supreme Court judgment: https://www.legal-tools.org/doc/74936a/ | Nizkor Project — Eichmann trial documents: https://www.nizkor.org/hweb/people/e/eichmann-adolf/
spain-scilingo-argentina,Adolfo Scilingo (Argentine Dirty War — Spain),STS 798/2007,Spain,Audiencia Nacional / Tribunal Supremo,2005-04-19,2005,Argentina,Crimes against humanity; Murder; Torture; Illegal detention,Universal jurisdiction,criminal,"1,084 years imprisonment (increased on appeal from 640 years)",conviction,No,Spanish,,"Former Argentine naval officer Adolfo Scilingo was convicted by Spain's Audiencia Nacional for crimes against humanity during Argentina's Dirty War — the first conviction for crimes against humanity by a Spanish court. Scilingo participated in 'death flights' (vuelos de la muerte) in which political prisoners were drugged and thrown alive from aircraft into the Río de la Plata. He was initially sentenced to 640 years, later increased to 1,084 years by the Tribunal Supremo in 2007. The case was part of Judge Baltasar Garzón's broader investigation into Argentine and Chilean human rights violations.",First Spanish conviction for crimes against humanity | Death flights — vuelos de la muerte | Universal jurisdiction — Spanish law | Tribunal Supremo increased sentence,https://www.poderjudicial.es,,,,,,,,2,ICD — International Crimes Database — Scilingo: https://www.internationalcrimesdatabase.org | Tribunal Supremo — STS 798/2007: https://www.poderjudicial.es
germany-jorgic-bosnia,Nikola Jorgić (Genocide — Bosnia),IV-2 StE 8/96,Germany,OLG Düsseldorf / BGH / Federal Constitutional Court,1997-09-26,1997,Bosnia and Herzegovina,Genocide; Murder,Universal jurisdiction,criminal,Life imprisonment,conviction,No,German,,"Nikola Jorgić, a Bosnian Serb, was convicted by the Düsseldorf Higher Regional Court of genocide and multiple counts of murder for his role in 'ethnic cleansing' operations in the Doboj region of Bosnia in 1992. He led a paramilitary group that committed mass killings, rapes, and forced expulsions of Bosnian Muslim civilians. The conviction was upheld by the BGH (1999) and the Federal Constitutional Court (2000). Jorgić subsequently brought a case before the European Court of Human Rights, which in 2007 ruled that Germany's exercise of universal jurisdiction and its interpretation of genocide were compatible with the European Convention on Human Rights.",First genocide conviction under German universal jurisdiction | Ethnic cleansing as genocide | ECtHR validation of German UJ | Paramilitary commander liability,https://hudoc.echr.coe.int/eng?i=001-81608,,,,,,,,3,ECtHR — Jorgić v. Germany (App. 74613/01): https://hudoc.echr.coe.int/eng?i=001-81608 | ICD — International Crimes Database — Jorgić: https://www.internationalcrimesdatabase.org
france-ely-ould-dah-mauritania,Ely Ould Dah (Mauritania — Torture),N/A,France,Cour d'assises de Nîmes / Cour de cassation,2005-07-01,2005,Mauritania,Torture; Acts of barbarism,Universal jurisdiction (art. 689-2 CPP — Convention Against Torture),criminal,10 years imprisonment (in absentia),conviction,No,French,,"Mauritanian army officer Ely Ould Dah was convicted in absentia by the Cour d'assises de Nîmes for torture committed against Black Mauritanian soldiers during the 1990-1991 ethnic purges. He had been arrested in France in 1999 while attending a military training course but fled while on bail. The conviction was upheld by the Cour de cassation. It was one of the first French convictions under universal jurisdiction based on the Convention Against Torture. The ECtHR later declared his application inadmissible, confirming that the French proceedings were Convention-compliant.",Convention Against Torture — universal jurisdiction | In absentia conviction | First French UJ conviction for torture | ECtHR admissibility — Ely Ould Dah v. France,https://www.legifrance.gouv.fr/juri/id/JURITEXT000007065962,FIDH (https://www.fidh.org),,,,,,https://competenceuniverselle.amnesty.fr/,1,ECtHR — Ely Ould Dah v. France (App. 13113/03): https://hudoc.echr.coe.int/eng?i=001-92206 | ICD — International Crimes Database: https://www.internationalcrimesdatabase.org | Amnesty France — Compétence universelle: https://competenceuniverselle.amnesty.fr/
germany-fdlr-murwanashyaka,Murwanashyaka & Musoni (FDLR — Rwanda/DRC),5-3 StS 1/15,Germany,Higher Regional Court of Stuttgart,2015-09-28,2015,Democratic Republic of the Congo,Aiding and abetting war crimes; Crimes against humanity; Ringleadership of a terrorist organization,Universal jurisdiction (Völkerstrafgesetzbuch),criminal,13 years (Murwanashyaka) / 8 years (Musoni),conviction,No,German,ZBKV (Central Office for Combating War Crimes),"The first trial under Germany's VStGB (Code of Crimes against International Law). Sylvestre Murwanashyaka (president of the FDLR) and Straton Musoni (vice-president) were convicted for their leadership of the FDLR rebel group and for aiding and abetting war crimes committed by FDLR forces in eastern DRC, including attacks on civilians, recruitment of child soldiers, and sexual violence. The defendants directed FDLR operations from Germany via satellite phone. The trial lasted over four years.",First VStGB trial in Germany | Remote command responsibility via satellite phone | FDLR rebel leadership | Aiding and abetting war crimes from abroad,"https://dejure.org/2015,26140",ECCHR (https://www.ecchr.eu),,,,,,,3,ECCHR — FDLR trial monitoring report: https://www.ecchr.eu | Search OLG Stuttgart decisions — OpenJur: https://openjur.de | ICD — International Crimes Database: https://www.internationalcrimesdatabase.org
belgium-butare-four-rwanda,"Butare Four — Ntezimana, Higaniro, Mukangango, Mukabutera (Rwanda)",N/A,Belgium,Cour d'assises de Bruxelles,2001-06-08,2001,Rwanda,Genocide; Crimes against humanity; War crimes,Universal jurisdiction (Belgian UJ law 1993),criminal,Convictions for genocide and crimes against humanity (first Belgian UJ genocide trial),conviction,No,French,,"Vincent Ntezimana (university lecturer), Alphonse Higaniro (former minister), Consolata Mukangango (Soeur Gertrude, nun), and Julienne Mukabutera (Soeur Kisito, nun) were convicted by a Brussels Assize Court for their roles in the 1994 Rwandan genocide — the first Belgian trial for genocide under universal jurisdiction. The case included the unprecedented prosecution of two Catholic nuns accused of aiding Interahamwe militias. The 'Butare Four' trial established Belgium's role as a pioneer in UJ prosecutions for the Rwandan genocide.",First Belgian UJ genocide trial | Catholic nuns prosecuted for genocide complicity | Belgian UJ law 1993 — broadest UJ statute | Butare prefecture massacres,,FIDH (https://www.fidh.org),,,,,,,1,ICD — International Crimes Database — Butare Four: https://www.internationalcrimesdatabase.org
belgium-nereste-rwanda,Fabien Nereste (Rwanda — Belgium),N/A,Belgium,Cour d'assises de Bruxelles,2019-12-20,2019,Rwanda,Genocide; War crimes,Universal jurisdiction,criminal,25 years imprisonment,conviction,No,French,,Fabien Nereste was convicted of genocide and war crimes for his role in the 1994 Rwandan genocide and sentenced to 25 years imprisonment by a Brussels Assize Court. The case demonstrated Belgium's continuing commitment to prosecuting Rwandan genocide suspects under universal jurisdiction.,Rwandan genocide prosecution | Belgian UJ — 25-year sentence,,,,,,,,,1,ICD — International Crimes Database — Nereste: https://www.internationalcrimesdatabase.org
germany-hesam-jalalzoy-afghanistan,Hesam & Jalalzoy (Afghan Intelligence — Torture),2 StE 1/07,Germany,Higher Regional Court of Cologne (OLG Köln),2013-04-29,2013,Afghanistan,Torture; Crimes against humanity,Universal jurisdiction,criminal,Convictions for torture,conviction,No,German,,Two former Afghan intelligence officials (KhAD/WAD) were convicted by the Cologne Higher Regional Court for torture committed in Afghanistan during the Soviet occupation in the 1980s. The case was significant as one of the early German UJ prosecutions for non-European crimes and established precedent for holding intelligence officials accountable for systematic torture.,Afghan intelligence torture | Cold War-era accountability | German UJ for Afghan crimes,,,,,,,,,1,ICD — International Crimes Database — Hesam & Jalalzoy: https://www.internationalcrimesdatabase.org
ukraine-finland-torden-rusich,Voislav Torden / Yan Petrovsky (Rusich — Ukraine),Helsinki District Court,Finland,Helsinki District Court (Helsingin käräjäoikeus),2025-03-14,2025,Ukraine,War crimes,"Universal jurisdiction (Finnish Criminal Code Ch. 1, § 7)",criminal,Life imprisonment (under appeal),conviction,No,Finnish,,Former commander of the Russian Rusich paramilitary group convicted of war crimes committed in eastern Ukraine in 2014. First conviction in any third country for crimes committed in the Russia-Ukraine conflict. Prosecutor appealed acquittal on one count; case proceeding to the Court of Appeal.,First third-country conviction for Ukraine war crimes | Rusich paramilitary accountability | UJ over conduct in Donbas (2014),,TRIAL International (https://trialinternational.org),,,,,,,1,Yle — Torden sentenced to life: https://yle.fi/a/74-20149571 | BBC — Russian Rusich fighter jailed in Finland: https://www.bbc.com/news/articles/cy83g975vyko | Yle — Prosecutor appeal: https://yle.fi/a/74-20150546 | GRC UJ Handbook (June 2025): https://globalrightscompliance.org/wp-content/uploads/2025/06/20250613-Handbook_UJ-final.pdf
